"symbol"	"ensembl_gene_id"	"entrez_id"
"AP2A2"	"ENSG00000183020"	161
"AP3M1"	"ENSG00000185009"	26985
"AP4B1"	"ENSG00000134262"	10717
"AP5B1"	"ENSG00000254470"	91056
"APBB1"	"ENSG00000166313"	322
"APBB1IP"	"ENSG00000077420"	54518
"APCS"	"ENSG00000132703"	325
"APH1A"	"ENSG00000117362"	51107
"API5"	"ENSG00000166181"	8539
"APIP"	"ENSG00000149089"	51074
"APLNR"	"ENSG00000134817"	187
"APLP2"	"ENSG00000084234"	334
"APOA1"	"ENSG00000118137"	335
"APOA2"	"ENSG00000158874"	336
"APOA4"	"ENSG00000110244"	337
"APOA5"	"ENSG00000110243"	116519
"APOBEC1"	"ENSG00000111701"	339
"APOBEC4"	"ENSG00000173627"	403314
"APOC3"	"ENSG00000110245"	345
"APOF"	"ENSG00000175336"	319
"APOLD1"	"ENSG00000178878"	81575
"AQP10"	"ENSG00000143595"	89872
"AQP11"	"ENSG00000178301"	282679
"AQP2"	"ENSG00000167580"	359
"AQP5"	"ENSG00000161798"	362
"AQP6"	"ENSG00000086159"	363
"ARAP1"	"ENSG00000186635"	116985
"ARCN1"	"ENSG00000095139"	372
"ARF1"	"ENSG00000143761"	375
"ARF3"	"ENSG00000134287"	377
"ARFGAP2"	"ENSG00000149182"	84364
"ARFIP2"	"ENSG00000132254"	23647
"ARHGAP1"	"ENSG00000175220"	392
"ARHGAP12"	"ENSG00000165322"	94134
"ARHGAP19"	"ENSG00000213390"	84986
"ARHGAP20"	"ENSG00000137727"	57569
"ARHGAP21"	"ENSG00000107863"	57584
"ARHGAP22"	"ENSG00000128805"	58504
"ARHGAP29"	"ENSG00000137962"	9411
"ARHGAP30"	"ENSG00000186517"	257106
"ARHGAP32"	"ENSG00000134909"	9743
"ARHGAP42"	"ENSG00000165895"	143872
"ARHGAP9"	"ENSG00000123329"	64333
"ARHGDIB"	"ENSG00000111348"	397
"ARHGEF10L"	"ENSG00000074964"	55160
"ARHGEF11"	"ENSG00000132694"	9826
"ARHGEF12"	"ENSG00000196914"	23365
"ARHGEF16"	"ENSG00000130762"	27237
"ARHGEF17"	"ENSG00000110237"	9828
"ARHGEF19"	"ENSG00000142632"	128272
"ARHGEF2"	"ENSG00000116584"	9181
"ARHGEF25"	"ENSG00000240771"	115557
"ARID1A"	"ENSG00000117713"	8289
"ARID2"	"ENSG00000189079"	196528
"ARID4B"	"ENSG00000054267"	51742
"ARID5B"	"ENSG00000150347"	84159
"ARL14EP"	"ENSG00000152219"	120534
"ARL2"	"ENSG00000213465"	402
"ARL3"	"ENSG00000138175"	403
"ARL5B"	"ENSG00000165997"	221079
"ARL8A"	"ENSG00000143862"	127829
"ARMC3"	"ENSG00000165309"	219681
"ARMS2"	"ENSG00000254636"	387715
"ARNT"	"ENSG00000143437"	405
"ARNTL"	"ENSG00000133794"	406
"ARNTL2"	"ENSG00000029153"	56938
"ARPC5"	"ENSG00000162704"	10092
"ARRB1"	"ENSG00000137486"	408
"ART1"	"ENSG00000129744"	417
"ART4"	"ENSG00000111339"	420
"ART5"	"ENSG00000167311"	116969
"ARTN"	"ENSG00000117407"	9048
"ARV1"	"ENSG00000173409"	64801
"AS3MT"	"ENSG00000214435"	57412
"ASAH2"	"ENSG00000188611"	56624
"ASAH2B"	"ENSG00000204147"	653308
"ASAP3"	"ENSG00000282854"	55616
"ASAP3"	"ENSG00000088280"	55616
"ASB13"	"ENSG00000196372"	79754
"ASB17"	"ENSG00000154007"	127247
"ASB8"	"ENSG00000177981"	140461
"ASCC1"	"ENSG00000138303"	51008
"ASCL2"	"ENSG00000183734"	430
"ASCL3"	"ENSG00000176009"	56676
"ASCL5"	"ENSG00000232237"	647219
"ASH1L"	"ENSG00000116539"	55870
"ASIC1"	"ENSG00000110881"	41
"ASPM"	"ENSG00000066279"	259266
"ASRGL1"	"ENSG00000162174"	80150
"ASTN1"	"ENSG00000152092"	460
"ATAD1"	"ENSG00000283024"	84896
"ATAD1"	"ENSG00000138138"	84896
"ATAD3A"	"ENSG00000197785"	55210
"ATAD3B"	"ENSG00000160072"	83858
"ATAD3C"	"ENSG00000215915"	219293
"ATE1"	"ENSG00000107669"	11101
"ATF1"	"ENSG00000123268"	466
"ATF3"	"ENSG00000162772"	467
"ATF6"	"ENSG00000118217"	22926
"ATF7"	"ENSG00000170653"	11016
"ATF7IP"	"ENSG00000171681"	55729
"ATG101"	"ENSG00000123395"	60673
"ATG13"	"ENSG00000175224"	9776
"ATG16L2"	"ENSG00000168010"	89849
"ATG2A"	"ENSG00000110046"	23130
"ATG4C"	"ENSG00000125703"	84938
"ATL3"	"ENSG00000184743"	25923
"ATM"	"ENSG00000149311"	472
"ATN1"	"ENSG00000111676"	1822
"ATOH7"	"ENSG00000179774"	220202
"ATP13A2"	"ENSG00000159363"	23400
"ATP1A1"	"ENSG00000163399"	476
"ATP1A2"	"ENSG00000018625"	477
"ATP1A4"	"ENSG00000132681"	480
"ATP1B1"	"ENSG00000143153"	481
"ATP23"	"ENSG00000262145"	91419
"ATP23"	"ENSG00000166896"	91419
"ATP6V0B"	"ENSG00000117410"	533
"ATP6V1G3"	"ENSG00000263014"	127124
"ATP6V1G3"	"ENSG00000151418"	127124
"ATP8B2"	"ENSG00000143515"	57198
"ATPAF1"	"ENSG00000123472"	64756
"ATRNL1"	"ENSG00000107518"	26033
"ATXN7L2"	"ENSG00000162650"	127002
