GeneA GeneB
100287284 8504
170463 5989
254065 408263
2783 80725
10495 9852
23108 284680
129852 8995
283162 9092
401612 90701
57677 81855
387763 5727
259266 64222
163175 341799
5160 65078
337974 150379
57106 9986
7791 57467
3228 56967
60592 168400
680 85438
148266 284119
203522 58473
2623 114327
375341 7064
29085 284273
85313 23152
56996 128853
2151 148170
100507050 146198
4798 3104
1260 1262
389432 8216
138162 2703
5526 576
9635 64856
6098 55282
8575 10432
27319 57198
1044 23066
139599 27044
92369 60677
93380 9258
392307 374864
729665 7022
286053 8341
1649 162979
139378 375316
25798 7471
9775 4808
10493 92815
10483 23620
1339 6699
7730 140766
347404 2641
26001 142678
23177 54765
26233 4974
6499 9755
11157 54949
64425 55588
84418 196403
402682 6640
55181 1339
51027 10163
29882 84916
54798 7165
7016 5612
1849 57178
7569 7781
222950 7349
56121 23403
7425 9666
84851 80117
81551 5292
643338 83590
57655 8456
11184 122970
347741 5321
23467 84502
1523 11318
23125 5871
100128731 6146
132160 8339
4692 56944
160 10052
7574 340990
7917 80818
6560 30832
10398 10166
4163 5901
11023 92369
5956 8470
2186 283248
8618 50861
5634 23677
166815 11180
5093 58517
162972 1130
6872 284071
84168 23403
402415 196403
10075 8347
285671 30846
7589 54492
388552 23334
340543 1659
4289 25900
165257 6217
83548 9651
81793 26140
6888 6045
492311 1954
7589 64375
7461 22879
8326 4436
441669 2026
5594 9903
64743 130612
91461 6187
55643 84623
55422 55818
56929 53834
128367 151354
148229 2184
375791 80031
8861 2256
7589 200312
7324 55611
284273 22889
6906 492311
387763 83657
9684 4123
4053 127396
343099 57526
6853 5569
286204 79009
54510 147040
123720 25973
9746 54627
10194 84886
64283 2487
57677 4232
389610 9437
2309 55624
2902 11282
283365 1270
80256 399473
8471 80021
80108 9673
23139 4352
579 128853
7007 7791
63035 14
388403 10078
440829 4005
5727 1960
27161 6165
28986 5914
26245 5464
6874 81539
154790 23424
390927 57687
257397 25886
22808 2771
5727 22889
10858 54507
5956 57369
23401 51027
284297 123722
646174 9028
9919 54915
79777 284069
8216 57610
