GeneA GeneB
23244 10320
9453 6856
58478 3162
22823 57570
23658 4817
11000 58472
55722 79643
6928 1454
57448 328
6428 10857
10287 10523
7766 51053
10327 6648
1604 6304
2625 8900
8192 10733
8841 10320
2188 4609
593 90121
2956 6390
6820 58472
4547 7296
6469 4830
226 23406
7494 3300
9817 6480
7029 11197
9133 23378
23338 6810
7321 26227
10013 22944
10413 9270
6427 5638
7376 8269
8844 6164
11325 23070
3309 6184
2582 8050
2673 5236
6723 1647
7251 23594
7100 10973
6509 8837
54512 10493
847 63925
80347 64318
65094 9933
1503 10451
55120 10213
23512 55957
57326 23200
7424 10190
5577 9183
7465 23234
4041 26136
55176 1646
6599 93129
64170 11007
9063 5347
545 2171
2762 3028
11073 6787
7538 11182
2618 5529
3202 23014
7077 6992
5710 10007
6418 7846
6820 55256
7296 8714
2064 6923
3034 11065
3880 23326
54620 6695
644 27338
2885 23268
7046 57192
6184 10969
8576 4522
6871 9903
2885 23406
3065 64359
1111 10273
7913 3315
5435 22926
51015 3383
5104 9518
5566 9641
150094 9950
27032 3909
27242 11331
25 7431
6491 23536
622 79850
10810 124583
6622 3491
2109 9847
5562 7431
7280 3312
65094 10551
7026 9926
4486 5921
2274 10227
658 9851
2230 9088
10352 148022
7046 56654
11188 3434
55191 6834
26986 7155
7165 54929
6696 23443
5029 2131
55176 5164
5033 23410
84669 10409
9020 55651
2683 23066
7099 3162
10112 10059
955 339287
1951 133
11004 6990
9709 3978
1027 5467
23461 664
84444 10551
6364 7414
9748 3925
79170 1870
2762 23212
4947 11065
196 5588
5604 9801
54205 1891
340385 6509
166793 100133941
55165 24137
7227 5693
6258 201254
873 4478
8833 5588
6654 819
55311 154
23401 7422
4439 5300
84634 10320
50810 51315
5256 10285
79796 9531
23271 79947
4258 1213
7187 54541
5636 10195
5663 29088
143 154
6196 27336
55054 2098
2673 7873
8899 7153
998 3240
1201 388650
51022 23223
6304 10857
7128 191
8493 10403
91133 12
7554 9761
3459 9847
4665 7106
2023 5111
1612 8050
1021 3385
9221 5588
5286 171017
5608 80149
5435 6626
3480 3122
1666 10561
6576 58478
808 84617
5424 10797
133522 2109
8625 9270
7477 9847
23588 1022
4793 11274
84328 51295
5378 1477
1504 6856
9020 3553
5891 10019
2885 11000
4092 5611
55176 6235
8692 51293
23753 1396
3164 8821
3964 12
3269 57215
9767 10557
18 8382
3992 9791
5286 3611
2222 8545
8518 7507
3460 23378
3706 23212
3300 9143
9641 51382
6446 10273
4968 2690
79581 991
8797 891
4087 9870
10971 9531
4609 58472
79724 10589
10138 8444
5261 12
8408 11031
10628 8668
5707 64718
7264 10981
10682 3376
4694 23386
23443 9690
2287 7088
4303 9143
340385 10478
6714 9692
9541 9519
114026 7153
5859 7076
9451 23532
4907 513
3945 813
5883 1163
137209 11041
7415 7105
6419 9400
9308 5438
3226 1647
1111 79921
1362 4846
1482 55324
6285 57192
54472 123
4683 4602
8883 983
80274 1021
51588 8260
1072 7849
5329 10113
8576 332
8165 11098
5245 9217
2954 642
10554 10320
2180 2001
2987 10904
5034 5111
6790 1112
22937 9246
84936 2920
8575 6402
874 10180
4793 4609
4968 26520
5134 3065
29890 6804
7832 4694
3560 2778
84875 25984
3556 5721
8435 148022
84775 1870
81577 12
8869 11344
955 4482
6790 5720
6657 79137
8803 8406
2961 2512
5920 7106
7188 79828
2146 22887
5202 84159
134864 11325
4926 11004
8743 25966
30 8914
5690 4864
7416 9761
79088 6697
10544 55281
6566 7106
3159 4931
169270 26227
2050 57192
375449 466
3663 4830
3309 22926
7100 3329
54851 10956
4335 5261
5091 4070
5695 23503
5827 79073
1490 9688
340385 4208
7226 4208
3895 2678
22978 7534
11230 8607
2553 1978
